wlan.sa,wlan_radio.signal_dbm,wlan.fc.type_subtype
"c6:91:4d:9c:46:5b","-61","4"
"72:8a:2b:b7:93:bd","-52","4"
"72:8a:2b:b7:93:bd","-55","4"
"5a:36:e6:cc:e7:cc","-61","4"
"70:cd:0d:e5:32:a6","-51","4"
"dc:a6:32:61:a7:01","-61","4"
"dc:a6:32:61:a7:01","-58","4"
"dc:a6:32:61:a7:01","-53","4"
"dc:a6:32:61:a7:01","-56","4"
"dc:a6:32:61:a7:01","-54","4"
"dc:a6:32:61:a7:01","-47","4"
"dc:a6:32:61:a7:01","-47","4"
"dc:a6:32:61:a7:01","-49","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-14","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-19","4"
"dc:a6:32:61:a7:01","-18","4"
"dc:a6:32:61:a7:01","-16","4"
"1a:1d:d8:dd:c6:81","-36","4"
"1a:1d:d8:dd:c6:81","-36","4"
"86:10:45:4f:6e:f7","-39","4"
"86:10:45:4f:6e:f7","-38","4"
"b0:68:e6:11:9f:0b","-44","4"
"66:a0:f8:79:d4:2c","-63","4"
"0a:1f:c6:11:86:71","-57","4"
"b0:68:e6:11:9f:0b","-41","4"
"b0:68:e6:11:9f:0b","-42","4"
"b0:68:e6:11:9f:0b","-43","4"
"dc:a6:32:30:04:38","-64","4"
"14:ac:60:81:cf:93","-67","4"
"94:64:24:9a:e1:b0","-46","15"
"b0:68:e6:11:9f:0b","-45","4"
"b0:68:e6:11:9f:0b","-45","4"
"70:cd:0d:df:31:85","-62","4"
"fe:54:07:ef:79:97","-54","4"
"b2:d1:d0:46:14:a9","-55","4"
"aa:6c:d6:ec:d1:83","-53","4"
"ca:46:1b:78:9c:1c","-53","4"
"ea:86:a2:2e:b0:4b","-55","4"
"ea:86:a2:2e:b0:4b","-56","4"
"b0:68:e6:11:9f:0b","-41","4"
"b0:68:e6:11:9f:0b","-42","4"
"b0:68:e6:11:9f:0b","-41","4"
"be:a2:27:fb:b5:d8","-53","4"
"fa:18:44:b8:07:4f","-52","4"
"32:59:8d:19:be:d3","-52","4"
"16:c7:a8:7c:82:6a","-54","4"
"36:2b:3e:2c:19:82","-55","4"
"52:c1:91:1b:54:5d","-54","4"
"aa:b0:a2:0b:0c:58","-54","4"
"32:59:8d:19:be:d3","-53","4"
"6a:f9:65:c6:2a:d1","-53","4"
"7e:29:d9:59:26:82","-56","4"
"2e:3d:c6:10:d8:2b","-55","4"
"82:96:01:7a:ed:41","-54","4"
"dc:a6:32:61:a7:01","-60","4"
"dc:a6:32:61:a7:01","-57","4"
"dc:a6:32:61:a7:01","-57","4"
"dc:a6:32:61:a7:01","-18","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-15","4"
"dc:a6:32:61:a7:01","-13","4"
